trip_id,start_time,end_time,ride_length,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear,day_of_week
21960544,2019-02-24 14:45:32.000000 UTC,2019-02-24 15:02:54.000000 UTC,0:17:22,1411,1042.0,456,2112 W Peterson Ave,456,2112 W Peterson Ave,Subscriber,Male,1990,1
21758497,2019-01-04 12:31:59.000000 UTC,2019-01-04 12:39:50.000000 UTC,0:07:51,5304,471.0,456,2112 W Peterson Ave,456,2112 W Peterson Ave,Customer,,,6
21960544,2019-02-24 14:45:32.000000 UTC,2019-02-24 15:02:54.000000 UTC,0:17:22,1411,1042.0,456,2112 W Peterson Ave,456,2112 W Peterson Ave,Subscriber,Male,1990,1
21758497,2019-01-04 12:31:59.000000 UTC,2019-01-04 12:39:50.000000 UTC,0:07:51,5304,471.0,456,2112 W Peterson Ave,456,2112 W Peterson Ave,Customer,,,6
22102594,2019-03-21 17:25:59.000000 UTC,2019-03-21 17:59:57.000000 UTC,0:33:58,579,2038.0,596,Benson Ave & Church St,456,2112 W Peterson Ave,Subscriber,Male,1990,5
22102594,2019-03-21 17:25:59.000000 UTC,2019-03-21 17:59:57.000000 UTC,0:33:58,579,2038.0,596,Benson Ave & Church St,456,2112 W Peterson Ave,Subscriber,Male,1990,5
21928696,2019-02-15 20:34:14.000000 UTC,2019-02-15 20:43:01.000000 UTC,0:08:47,4204,527.0,454,Broadway & Granville Ave,456,2112 W Peterson Ave,Subscriber,Male,1974,6
22136306,2019-03-26 14:08:11.000000 UTC,2019-03-26 14:17:03.000000 UTC,0:08:52,1699,532.0,454,Broadway & Granville Ave,456,2112 W Peterson Ave,Subscriber,Male,1990,3
21928696,2019-02-15 20:34:14.000000 UTC,2019-02-15 20:43:01.000000 UTC,0:08:47,4204,527.0,454,Broadway & Granville Ave,456,2112 W Peterson Ave,Subscriber,Male,1974,6
22136306,2019-03-26 14:08:11.000000 UTC,2019-03-26 14:17:03.000000 UTC,0:08:52,1699,532.0,454,Broadway & Granville Ave,456,2112 W Peterson Ave,Subscriber,Male,1990,3
22021070,2019-03-09 21:02:38.000000 UTC,2019-03-09 21:17:31.000000 UTC,0:14:53,3079,893.0,461,Broadway & Ridge Ave,456,2112 W Peterson Ave,Subscriber,Male,1960,7
22021070,2019-03-09 21:02:38.000000 UTC,2019-03-09 21:17:31.000000 UTC,0:14:53,3079,893.0,461,Broadway & Ridge Ave,456,2112 W Peterson Ave,Subscriber,Male,1960,7
