trip_id,start_time,end_time,ride_length,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear,day_of_week
21744139,2019-01-01 20:37:48.000000 UTC,2019-01-01 20:40:17.000000 UTC,0:02:29,3079,149.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Subscriber,Female,1992,3
21758022,2019-01-04 11:16:03.000000 UTC,2019-01-04 11:37:51.000000 UTC,0:21:48,6439,1308.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,6
21759125,2019-01-04 14:10:54.000000 UTC,2019-01-04 14:38:56.000000 UTC,0:28:02,5272,1682.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,6
21759126,2019-01-04 14:11:12.000000 UTC,2019-01-04 14:38:56.000000 UTC,0:27:44,3335,1664.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,6
21765030,2019-01-05 12:17:13.000000 UTC,2019-01-05 13:51:05.000000 UTC,1:33:52,3079,5632.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,7
21765035,2019-01-05 12:17:35.000000 UTC,2019-01-05 13:51:12.000000 UTC,1:33:37,2760,5617.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,7
21779615,2019-01-07 21:25:55.000000 UTC,2019-01-07 22:26:57.000000 UTC,1:01:02,93,3662.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,2
21779616,2019-01-07 21:26:28.000000 UTC,2019-01-07 22:26:57.000000 UTC,1:00:29,4457,3629.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,2
21991871,2019-03-03 12:42:16.000000 UTC,2019-03-03 12:51:32.000000 UTC,0:09:16,4896,556.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
21991874,2019-03-03 12:42:43.000000 UTC,2019-03-03 12:52:12.000000 UTC,0:09:29,2796,569.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
21992547,2019-03-03 16:41:28.000000 UTC,2019-03-03 17:05:35.000000 UTC,0:24:07,2663,1447.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
21992550,2019-03-03 16:42:08.000000 UTC,2019-03-03 17:05:35.000000 UTC,0:23:27,5239,1407.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
21992551,2019-03-03 16:42:20.000000 UTC,2019-03-03 17:05:35.000000 UTC,0:23:15,3789,1395.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
22015405,2019-03-08 13:58:57.000000 UTC,2019-03-08 14:24:56.000000 UTC,0:25:59,5177,1559.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,Male,1998,6
22015406,2019-03-08 13:58:57.000000 UTC,2019-03-08 14:25:19.000000 UTC,0:26:22,6311,1582.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,Female,2000,6
22023123,2019-03-10 16:42:31.000000 UTC,2019-03-10 18:43:27.000000 UTC,2:00:56,2915,7256.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
22023126,2019-03-10 16:43:33.000000 UTC,2019-03-10 18:43:27.000000 UTC,1:59:54,5177,7194.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
22027690,2019-03-11 14:58:50.000000 UTC,2019-03-11 15:16:50.000000 UTC,0:18:00,3790,1080.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,2
22027692,2019-03-11 14:59:10.000000 UTC,2019-03-11 15:16:35.000000 UTC,0:17:25,2915,1045.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,2
22040336,2019-03-12 21:07:50.000000 UTC,2019-03-12 22:04:18.000000 UTC,0:56:28,4398,3388.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,3
22040337,2019-03-12 21:07:53.000000 UTC,2019-03-12 22:04:18.000000 UTC,0:56:25,4529,3385.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,3
22045529,2019-03-13 17:22:27.000000 UTC,2019-03-13 17:50:29.000000 UTC,0:28:02,4512,1682.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,4
22045540,2019-03-13 17:22:58.000000 UTC,2019-03-13 17:50:24.000000 UTC,0:27:26,3388,1646.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,4
22055595,2019-03-14 19:45:52.000000 UTC,2019-03-14 20:43:41.000000 UTC,0:57:49,1856,3469.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,5
22064286,2019-03-16 11:42:01.000000 UTC,2019-03-16 13:45:22.000000 UTC,2:03:21,5044,7401.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,7
22064289,2019-03-16 11:42:27.000000 UTC,2019-03-16 13:45:11.000000 UTC,2:02:44,4264,7364.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,7
22066951,2019-03-16 17:58:08.000000 UTC,2019-03-16 18:13:17.000000 UTC,0:15:09,1218,909.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,7
22072010,2019-03-17 17:14:04.000000 UTC,2019-03-17 17:39:33.000000 UTC,0:25:29,2099,1529.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
22072013,2019-03-17 17:14:13.000000 UTC,2019-03-17 17:39:13.000000 UTC,0:25:00,2851,1500.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
22072020,2019-03-17 17:15:47.000000 UTC,2019-03-17 17:40:14.000000 UTC,0:24:27,2272,1467.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
22072029,2019-03-17 17:17:07.000000 UTC,2019-03-17 17:40:14.000000 UTC,0:23:07,719,1387.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
22072268,2019-03-17 17:50:51.000000 UTC,2019-03-17 17:56:26.000000 UTC,0:05:35,5544,335.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,Male,2002,1
22072280,2019-03-17 17:53:45.000000 UTC,2019-03-17 18:13:15.000000 UTC,0:19:30,5788,1170.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
22072290,2019-03-17 17:55:00.000000 UTC,2019-03-17 18:13:38.000000 UTC,0:18:38,719,1118.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
22085901,2019-03-19 14:39:19.000000 UTC,2019-03-19 15:03:42.000000 UTC,0:24:23,2242,1463.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,3
22085904,2019-03-19 14:39:29.000000 UTC,2019-03-19 15:03:35.000000 UTC,0:24:06,6109,1446.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,3
22117552,2019-03-23 15:16:02.000000 UTC,2019-03-23 15:58:42.000000 UTC,0:42:40,1943,2560.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,7
22117557,2019-03-23 15:16:31.000000 UTC,2019-03-23 15:58:34.000000 UTC,0:42:03,3822,2523.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,7
22117761,2019-03-23 15:33:29.000000 UTC,2019-03-23 16:35:08.000000 UTC,1:01:39,275,3699.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Subscriber,Male,1994,7
22118596,2019-03-23 16:36:21.000000 UTC,2019-03-23 17:06:34.000000 UTC,0:30:13,275,1813.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Subscriber,Male,1994,7
22123529,2019-03-24 14:47:43.000000 UTC,2019-03-24 16:09:28.000000 UTC,1:21:45,3190,4905.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
22144945,2019-03-27 13:52:19.000000 UTC,2019-03-27 14:23:22.000000 UTC,0:31:03,5128,1863.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,4
22144948,2019-03-27 13:52:50.000000 UTC,2019-03-27 14:23:15.000000 UTC,0:30:25,2194,1825.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,4
22148542,2019-03-27 17:42:19.000000 UTC,2019-03-27 17:56:37.000000 UTC,0:14:18,2293,858.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Subscriber,Male,1994,4
22148863,2019-03-27 17:56:49.000000 UTC,2019-03-27 18:48:14.000000 UTC,0:51:25,397,3085.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Subscriber,Male,1994,4
22156026,2019-03-28 13:32:47.000000 UTC,2019-03-28 14:00:48.000000 UTC,0:28:01,3199,1681.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,Female,2000,5
22156030,2019-03-28 13:33:08.000000 UTC,2019-03-28 14:00:56.000000 UTC,0:27:48,1214,1668.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,Female,2000,5
22156043,2019-03-28 13:34:35.000000 UTC,2019-03-28 14:00:05.000000 UTC,0:25:30,2591,1530.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,Female,2000,5
22158480,2019-03-28 16:54:08.000000 UTC,2019-03-28 17:21:44.000000 UTC,0:27:36,3199,1656.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,5
22176549,2019-03-31 14:04:19.000000 UTC,2019-03-31 15:15:42.000000 UTC,1:11:23,2025,4283.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Customer,,,1
21901676,2019-02-09 14:20:53.000000 UTC,2019-02-09 14:36:29.000000 UTC,0:15:36,1442,936.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Customer,Female,1994,7
21901680,2019-02-09 14:22:34.000000 UTC,2019-02-09 14:36:44.000000 UTC,0:14:10,716,850.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Customer,Female,1995,7
21929752,2019-02-16 11:45:19.000000 UTC,2019-02-16 11:54:12.000000 UTC,0:08:53,391,533.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Subscriber,Male,1977,7
22022472,2019-03-10 13:54:14.000000 UTC,2019-03-10 14:24:52.000000 UTC,0:30:38,6200,1838.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Customer,,,1
22022473,2019-03-10 13:54:19.000000 UTC,2019-03-10 14:24:52.000000 UTC,0:30:33,2915,1833.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Customer,,,1
22085624,2019-03-19 13:56:41.000000 UTC,2019-03-19 14:03:35.000000 UTC,0:06:54,1125,414.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Customer,Male,1998,3
22085628,2019-03-19 13:56:59.000000 UTC,2019-03-19 14:03:43.000000 UTC,0:06:44,2491,404.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Customer,Male,1999,3
22136136,2019-03-26 13:39:34.000000 UTC,2019-03-26 13:49:42.000000 UTC,0:10:08,2453,608.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Customer,,,3
22136137,2019-03-26 13:39:40.000000 UTC,2019-03-26 13:49:42.000000 UTC,0:10:02,3700,602.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Customer,,,3
22156742,2019-03-28 14:52:28.000000 UTC,2019-03-28 15:15:36.000000 UTC,0:23:08,3746,1388.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Customer,,,5
21930711,2019-02-16 15:59:58.000000 UTC,2019-02-16 16:32:06.000000 UTC,0:32:08,679,1928.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),Customer,,,7
21930713,2019-02-16 16:00:08.000000 UTC,2019-02-16 16:31:14.000000 UTC,0:31:06,1157,1866.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),Customer,,,7
21930715,2019-02-16 16:00:38.000000 UTC,2019-02-16 16:31:29.000000 UTC,0:30:51,4896,1851.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),Customer,,,7
21930719,2019-02-16 16:01:18.000000 UTC,2019-02-16 16:31:37.000000 UTC,0:30:19,2739,1819.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),Customer,,,7
21930723,2019-02-16 16:01:50.000000 UTC,2019-02-16 16:31:38.000000 UTC,0:29:48,2030,1788.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),Customer,,,7
21930726,2019-02-16 16:02:14.000000 UTC,2019-02-16 16:31:57.000000 UTC,0:29:43,4554,1783.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),Customer,,,7
21930728,2019-02-16 16:02:46.000000 UTC,2019-02-21 12:27:58.000000 UTC,116:25:12,2821,419112.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),Customer,,,5
22036555,2019-03-12 16:10:31.000000 UTC,2019-03-12 16:19:00.000000 UTC,0:08:29,6229,509.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),Subscriber,Male,1979,3
21783217,2019-01-08 12:45:29.000000 UTC,2019-01-08 13:04:36.000000 UTC,0:19:07,5612,1147.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),Customer,Female,1999,3
22066375,2019-03-16 16:28:15.000000 UTC,2019-03-16 16:50:22.000000 UTC,0:22:07,1218,1327.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),Customer,,,7
22066376,2019-03-16 16:28:19.000000 UTC,2019-03-16 16:50:22.000000 UTC,0:22:03,2928,1323.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),Customer,,,7
22066378,2019-03-16 16:28:24.000000 UTC,2019-03-16 16:50:40.000000 UTC,0:22:16,3752,1336.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),Customer,,,7
22066387,2019-03-16 16:28:54.000000 UTC,2019-03-16 16:50:22.000000 UTC,0:21:28,4352,1288.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),Customer,,,7
22166434,2019-03-29 14:18:35.000000 UTC,2019-03-29 15:06:35.000000 UTC,0:48:00,1707,2880.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),Customer,Male,1986,6
22166478,2019-03-29 14:25:09.000000 UTC,2019-03-29 15:07:13.000000 UTC,0:42:04,3521,2524.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),Customer,Female,1986,6
22023625,2019-03-10 18:37:16.000000 UTC,2019-03-10 18:58:01.000000 UTC,0:20:45,3790,1245.0,7,Field Blvd & South Water St,2,Buckingham Fountain (Temp),Customer,Male,1992,1
22023626,2019-03-10 18:37:49.000000 UTC,2019-03-10 18:58:01.000000 UTC,0:20:12,288,1212.0,7,Field Blvd & South Water St,2,Buckingham Fountain (Temp),Customer,Female,1995,1
22053952,2019-03-14 17:20:18.000000 UTC,2019-03-14 17:32:15.000000 UTC,0:11:57,3325,717.0,7,Field Blvd & South Water St,2,Buckingham Fountain (Temp),Subscriber,Male,1986,5
